;WT;RIC;EBV_d2;EBV_d4;EBV_d7;EBV_d14
GOBP_CRANIAL_NERVE_DEVELOPMENT;0;1;0;0;0;0
GOBP_CRISTAE_FORMATION;0;0;1;0;0;0
GOBP_CYTOCHROME_COMPLEX_ASSEMBLY;0;0;1;1;1;1
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY;1;1;1;1;1;1
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE;0;0;0;0;0;1
GOBP_CYTOKINESIS;1;1;1;1;1;1
GOBP_CYTOKINETIC_PROCESS;1;0;1;1;1;1
GOBP_CYTOPLASM_ORGANIZATION;0;0;1;0;0;0
GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY_IN_RESPONSE_TO_VIRUS;0;0;1;0;1;1
GOBP_CYTOPLASMIC_TRANSLATION;1;1;0;0;0;0
GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS;1;1;1;1;1;1
GOBP_CYTOSOLIC_CALCIUM_ION_TRANSPORT;0;0;0;0;1;0
GOBP_DE_NOVO_PROTEIN_FOLDING;1;0;0;0;0;0
GOBP_DECIDUALIZATION;0;0;0;0;1;0
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM;0;0;0;0;1;1
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM;0;1;0;0;0;0
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM;0;0;0;0;0;1
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT;0;0;1;1;1;1
GOBP_DENDRITIC_CELL_CYTOKINE_PRODUCTION;0;0;1;1;1;1
GOBP_DENDRITIC_CELL_DIFFERENTIATION;1;1;0;0;0;1
GOBP_DENDRITIC_SPINE_MAINTENANCE;0;1;0;0;0;0
GOBP_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS;0;1;0;1;0;1
GOBP_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS;0;0;1;1;1;0
GOBP_DEOXYRIBOSE_PHOSPHATE_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_DEOXYRIBOSE_PHOSPHATE_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_DETERMINATION_OF_ADULT_LIFESPAN;0;0;0;0;0;1
GOBP_DETOXIFICATION;0;1;1;1;1;1
GOBP_DETOXIFICATION_OF_COPPER_ION;0;0;1;1;1;1
GOBP_DEVELOPMENT_OF_PRIMARY_FEMALE_SEXUAL_CHARACTERISTICS;0;1;0;0;0;0
GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS;0;1;0;0;0;0
GOBP_DEVELOPMENTAL_CELL_GROWTH;0;1;0;0;0;0
